Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x11),27,72.47
2,N,drop dead,Olivia Rodrigo,2,1,71.14
3,-1,Be Her,Ella Langley,2,10,45.76
4,-1,I Just Might,Bruno Mars,1(x2),15,40.5
5,15,DAISIES,Justin Bieber,1(x1),31,39.34
6,-2,Man I Need,Olivia Dean,2,35,34.84
7,17,Beauty and a Beat,Justin Bieber feat. Nicki Minaj,7,2,34.74
8,-3,Ordinary,Alex Warren,1(x5),63,34.23
9,-3,Stateside,PinkPantheress feat. Zara Larsson,4,14,31.38
10,7,YUKON,Justin Bieber,10,41,30.07
11,-1,Dracula,Tame Impala,10,30,29.92
12,-5,Babydoll,Dominic Fike,7,10,29.76
13,-4,So Easy (To Fall In Love),Olivia Dean,9,30,29.63
14,-6,Risk It All,Bruno Mars,3,8,29.03
15,-3,Sleepless In A Hotel Room,Luke Combs,9,15,28.4
16,2,Be By You,Luke Combs,9,10,27.21
17,-2,Golden,HUNTR/X,1(x13),44,27.17
18,-2,iloveitiloveitiloveit,Bella Kay,11,10,25.43
19,6,Homewrecker,sombr,19,11,24.23
20,-1,E85,Don Toliver,12,12,24.02
21,-10,SWIM,BTS,2,5,23.88
22,-1,The Fate Of Ophelia,Taylor Swift,1(x12),29,23.62
23,-10,Loving Life Again,Ella Langley,13,5,22.84
24,-1,WHERE IS MY HUSBAND!,RAYE,12,30,21.91
25,3,Opalite,Taylor Swift,2,29,21.8
26,-12,Bottom Of Your Boots,Ella Langley,14,2,21.25
27,6,Earrings,Malcolm Todd,27,8,20.95
28,-1,Folded,Kehlani,6,45,20.87
29,-7,Dandelion,Ella Langley,22,12,19.94
30,-1,White Keys,Dominic Fike,27,9,19.59
31,3,Freakin' Out,Dexter and The Moonrocks,31,5,19.07
32,-1,POP DAT THANG,DaBaby,28,13,18.98
33,10,Baby,Justin Bieber,33,2,18.82
34,-2,Body,Don Toliver,10,12,18.61
35,1,Change My Mind,Riley Green,32,11,18.28
36,N,Confident,Justin Bieber feat. Chance the Rapper,36,1,18.05
37,-7,American Girls,Harry Styles,2,7,17.68
38,-12,PINKY UP,KATSEYE,26,2,17.44
39,=,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,42,17.31
40,-2,FEVER DREAM,Alex Warren,19,8,17.28
41,-1,The Fall,Cody Johnson,22,30,17.23
42,-5,Lush Life,Zara Larsson,28,15,17.2
43,-8,Die On This Hill,SIENNA SPIRO,15,17,16.8
44,1,The Great Divide,Noah Kahan,3,12,16.29
45,-4,Let 'Em Know,T.I.,36,12,16.07
46,9,Boston,STELLA LEFTY,46,2,16.04
47,-3,Midnight Sun,Zara Larsson,35,13,15.69
48,-6,Motion Party,BossMan Dlow,34,6,15.22
49,20,Elizabeth Taylor,Taylor Swift,3,24,14.65
50,-4,What You Saying,Lil Uzi Vert,8,17,13.57
51,-3,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,12,13.47
52,-5,Raindance,Dave & Tems,45,12,13.18
53,4,Brunette,Tucker Wetmore,41,18,12.22
54,5,Don't We,Morgan Wallen,43,10,12.13
55,5,Dry Spell,Kacey Musgraves,51,6,11.84
56,N,Potential,sombr,56,1,11.77
57,10,Porch Light,Noah Kahan,19,6,11.73
58,-2,In My Room,Julia Wolf,52,7,11.52
59,-1,What You Need,Tems,53,5,11.5
60,N,SHE DID IT AGAIN,Tyla & Zara Larsson,60,1,11.46
61,-9,FDO,Pooh Shiesty,2,18,11.09
62,8,Rein Me In,Sam Fender & Olivia Dean,59,6,10.69
63,1,When Did You Get Hot?,Sabrina Carpenter,13,32,10.68
64,-15,Broken,Ella Langley,49,2,10.52
65,11,Days Like These,Luke Combs,38,27,10.26
66,9,Turn This Truck Around,Jordan Davis,64,8,10.1
67,1,Go Away,Weezer,55,4,10.02
68,11,Beautiful Things,Megan Moroney,29,20,9.96
69,2,Rethink Some Things,Luke Combs,37,5,9.68
70,10,Mr. Know It All,Teddy Swims,70,2,9.64
71,R,Can't Sit Still,Lainey Wilson,70,3,9.26
72,-22,You & Me Time,Ella Langley,50,2,9.24
73,5,dano,Peso Pluma & Tito Double P,69,10,9.01
74,10,Who Knows,Daniel Caesar,39,17,8.84
75,R,Woman,Kane Brown,75,2,8.81
76,N,FERRARI,"LOS GEMELOS DE SINALOA, CLAVE ESPECIAL & Fuerza Regida",76,1,8.8
77,11,Mrs. Trendsetter,Lil Baby,65,9,8.66
78,-24,Obvious,Chris Brown,54,2,8.6
79,13,Self Aware,Temper City,79,3,8.42
80,17,Don't Tell On Me,Jason Aldean,80,3,8.36
81,2,Jane!,The Long Faces,63,3,8.33
82,N,Sweet Boy,Malcolm Todd,82,1,8.33
83,-20,FATHER,Kanye West & Travis Scott,19,4,8.16
84,5,Zoo,Shakira,52,11,8.14
85,11,Be Like A Woman,Chris Rainbow,85,3,8.11
86,-20,Body to Body,BTS,21,5,7.97
87,R,Plastic Cigarette,Zach Bryan,12,13,7.92
88,-15,Butterfly Season,Ella Langley,73,2,7.91
89,-38,We Know Us,Ella Langley,51,2,7.88
90,-9,What He'll Never Have,Dylan Scott,75,9,7.75
91,2,CHANEL,Tyla,24,20,7.69
92,-5,The Visitor,SIENNA SPIRO,36,6,7.66
93,5,Hate How You Look,Josh Ross,93,3,7.52
94,-4,2,BTS,49,5,7.48
95,R,butterflies.,Brent Faiyaz,42,8,7.43
96,-43,RUNWAY,Lady Gaga & Doechii,53,2,7.31
97,R,Tiramisu,Don Toliver,30,11,7.22
98,-3,Rocky Mountain Low,Corey Kent & Koe Wetzel,78,5,7.19
99,=,Ever Since U Left Me,Max B & French Montana,98,5,6.63
100,R,Silent Treatment,Freya Skye,97,2,6.25
