Place,Move,Name,Artist,Peak,Weeks,Points
47,-10,Shot Callin,YoungBoy Never Broke Again,20,17,12.47
48,3,Beautiful Things,Megan Moroney,45,5,12.34
49,4,Happen to Me,Russell Dickerson,36,38,12.31
50,-10,Tears,Sabrina Carpenter,2,19,12.05
51,16,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,27,11.99
52,-5,Elizabeth Taylor,Taylor Swift,3,14,11.89
53,N,"girl, get up.",Doechii & SZA,53,1,11.85
54,=,YUKON,Justin Bieber,13,26,11.76
55,-3,Zoo,Shakira,52,2,11.71
56,-12,Eternity,Alex Warren,11,18,11.46
57,-9,Phantom,EsDeeKid & Rico Ace,26,3,11.45
58,5,Amen,Shaboozey & Jelly Roll,44,34,11.32
59,-2,6 Months Later,Megan Moroney,24,29,11.13
60,-2,When Did You Get Hot?,Sabrina Carpenter,13,17,11.09
61,3,How Far Does a Goodbye Go,Jason Aldean,44,12,11.09
62,-13,MR RECOUP,21 Savage & Drake,10,4,10.81
63,-1,ErrTime,Cardi B,31,14,10.6
64,14,Nice To Each Other,Olivia Dean,43,10,10.6
65,11,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,7,10.43
66,3,BOO,H3adband,66,2,10.38
67,-7,Dracula,Tame Impala,25,15,10.37
68,11,Let Alone The One You Love,Olivia Dean,47,6,10.35
69,-30,dopamina,Peso Pluma & Tito Double P,39,2,10.35
70,1,Gnarly,KATSEYE,70,11,10.18
71,6,Favorite Country Song,HARDY,46,11,10.13
72,-11,Take Me Thru Dere,"Metro Boomin, Quavo, Broski & YKNIECE",29,14,10.11
73,10,Brunette,Tucker Wetmore,73,3,9.97
74,-6,Wi$h Li$t,Taylor Swift,6,12,9.93
75,R,What An Awesome God,Phil Wickham,75,2,9.91
76,N,You Stole The Show,SIENNA SPIRO,76,1,9.91
77,-3,Sienna,The Marias,34,15,9.9
78,4,Who Knows,Daniel Caesar,78,2,9.74
79,-9,Father Figure,Taylor Swift,4,12,9.73
80,5,Bloodline,Alex Warren & Jelly Roll,28,15,9.6
81,-15,3am,Loe Shimmy & Don Toliver,40,3,9.54
82,-10,dano,Peso Pluma & Tito Double P,72,2,9.46
83,-3,Amor,Emmanuell Cortes,61,3,9.23
84,R,Fame is a Gun,Addison Rae,77,4,9.03
85,-1,The Life Of A Showgirl,Taylor Swift feat. Sabrina Carpenter,9,11,8.62
86,N,Baby Steps,Olivia Dean,86,1,8.59
87,N,Mrs. Trendsetter,Lil Baby,87,1,8.45
88,N,DON'T KILL THE PARTY,Ty Dolla $ign feat. Juicy J & Quavo,88,1,7.95
89,N,I've Seen It,Olivia Dean,89,1,7.93
90,4,Darlin',Chase Matthew,52,15,7.89
91,1,Camera,Ed Sheeran,51,17,7.88
92,-5,Sugar On My Tongue,"Tyler, the Creator",34,25,7.54
93,R,NOBODY'S GIRL,Tate McRae,14,4,7.49
94,R,Ends of the Earth,Ty Myers,88,2,7.37
95,4,Heart Of Stone,Jelly Roll,84,15,7.35
96,N,The Hardest Part,Olivia Dean,96,1,7.27
97,1,Stay Country Or Die Trying,Blake Shelton,57,4,7.08
98,-1,Safe,Cardi B feat. Kehlani,11,13,6.97
99,-4,Cowgirl,Parmalee,52,6,6.67
100,=,It Won't Be Long,George Birge,100,2,5.28
