Place,Move,Name,Artist,Peak,Weeks,Points
1,=,The Fate Of Ophelia,Taylor Swift,1(x12),14,53.67
2,2,Man I Need,Olivia Dean,2,20,49.39
3,2,Choosin' Texas,Ella Langley,3,12,47.47
4,-1,Ordinary,Alex Warren,1(x5),48,47.18
5,-3,Golden,HUNTR/X,1(x13),29,45.89
6,7,End Of Beginning,Djo,6,23,43.45
7,-1,back to friends,sombr,6,41,32.69
8,=,Folded,Kehlani,6,30,31.07
9,-2,Opalite,Taylor Swift,2,14,31.06
10,4,What You Saying,Lil Uzi Vert,10,2,26.38
11,-2,FDO,Pooh Shiesty,2,4,25.92
12,-2,I Got Better,Morgan Wallen,6,30,25.87
13,-2,So Easy (To Fall In Love),Olivia Dean,9,15,25.01
14,1,WHERE IS MY HUSBAND!,RAYE,12,15,23.64
15,-3,What I Want,Morgan Wallen & Tate McRae,1(x3),29,21.98
16,1,20 Cigarettes,Morgan Wallen,16,32,21.6
17,4,DAISIES,Justin Bieber,1(x1),25,20.8
18,N,Internet Girl,KATSEYE,18,1,20.49
19,-1,Gabriela,KATSEYE,15,24,19.74
20,-1,MUTT,Leon Thomas,10,46,18.84
21,3,Hell At Night,BigXthaPlug feat. Ella Langley,17,22,18.72
22,N,Purple Rain,Prince,22,1,18.56
23,3,A Couple Minutes,Olivia Dean,22,11,18.07
24,-2,TIT FOR TAT,Tate McRae,3,15,17.88
25,4,4 Raws,EsDeeKid,11,5,17.17
26,20,Better Me For You (Brown Eyes),Max McNown,26,30,17.04
27,-7,Manchild,Sabrina Carpenter,1(x1),27,16.93
28,-3,Love Me Not,Ravyn Lenae,8,36,16.84
29,-2,I Thought I Saw Your Face Today,She & Him,19,4,16.73
30,-7,Soda Pop,Saja Boys,3,24,16.13
31,-1,The Fall,Cody Johnson,22,15,16
32,=,Last One To Know,Gavin Adcock,25,21,15.01
33,3,12 to 12,sombr,28,21,14.66
34,-6,Your Idol,Saja Boys,3,25,14.57
35,6,Travelin' Soldier,Cody Johnson,9,9,14.55
36,-5,How It's Done,HUNTR/X,4,23,14.2
37,-3,CHANEL,Tyla,24,5,13.99
38,=,wgft,Gunna feat. Burna Boy,14,22,13.7
39,-4,It Depends,Chris Brown feat. Bryson Tiller,11,24,13.69
40,19,Die On This Hill,SIENNA SPIRO,40,2,13.67
41,-8,No Broke Boys,Disco Lines & Tinashe,31,21,13.62
42,=,Don't Mind If I Do,Riley Green feat. Ella Langley,15,23,13.6
43,=,Is It a Crime,Mariah the Scientist & Kali Uchis,15,22,13.45
44,37,Nice to Meet You,Myles Smith,44,31,13.3
45,5,Days Like These,Luke Combs,38,12,13.07
46,-1,House Again,Hudson Westbrook,28,38,12.47
