Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x8),24,58.5
2,=,SWIM,BTS,2,2,43.16
3,=,I Just Might,Bruno Mars,1(x2),12,42
4,=,Man I Need,Olivia Dean,2,32,39.15
5,=,Stateside,PinkPantheress feat. Zara Larsson,4,11,35.36
6,=,Ordinary,Alex Warren,1(x5),60,35.16
7,=,Babydoll,Dominic Fike,7,7,32.41
8,=,Be Her,Ella Langley,8,7,32.3
9,4,So Easy (To Fall In Love),Olivia Dean,9,27,30.77
10,-1,Sleepless In A Hotel Room,Luke Combs,9,12,29.31
11,=,Golden,HUNTR/X,1(x13),41,29.19
12,2,iloveitiloveitiloveit,Bella Kay,12,7,29.05
13,-1,Risk It All,Bruno Mars,3,5,28.77
14,-4,Be By You,Luke Combs,9,7,27.81
15,4,Dracula,Tame Impala,15,27,26.69
16,2,The Fate Of Ophelia,Taylor Swift,1(x12),26,26.45
17,-1,E85,Don Toliver,12,9,26.3
18,5,WHERE IS MY HUSBAND!,RAYE,12,27,25.01
19,N,FATHER,Kanye West & Travis Scott,19,1,24.34
20,-3,DtMF,Bad Bunny,1(x3),30,24.24
21,-6,American Girls,Harry Styles,2,4,23.83
22,-2,Opalite,Taylor Swift,2,26,22.78
23,2,Homewrecker,sombr,22,8,21.74
24,=,Folded,Kehlani,6,42,21.64
25,1,Body,Don Toliver,10,9,21
26,1,YUKON,Justin Bieber,13,38,20.86
27,N,ALL THE LOVE,Kanye West & Andre Troutman,27,1,20.31
28,=,Die On This Hill,SIENNA SPIRO,15,14,19.6
29,=,White Keys,Dominic Fike,29,6,18.91
30,=,FEVER DREAM,Alex Warren,19,5,18.05
31,5,Lush Life,Zara Larsson,28,12,17.47
32,13,POP DAT THANG,DaBaby,32,10,17.44
33,8,Change My Mind,Riley Green,33,8,16.85
34,6,Motion Party,BossMan Dlow,34,3,16.44
35,-2,The Great Divide,Noah Kahan,3,9,16.25
36,7,Let 'Em Know,T.I.,36,9,16.14
37,-5,What You Saying,Lil Uzi Vert,8,14,16.08
38,6,The Fall,Cody Johnson,22,27,16.08
39,-18,Body to Body,BTS,21,2,15.84
40,27,Elizabeth Taylor,Taylor Swift,3,21,15.84
41,5,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,9,15.76
42,N,KING,Kanye West,42,1,15.76
43,7,Loving Life Again,Ella Langley,43,2,15.62
44,3,Midnight Sun,Zara Larsson,35,10,15.32
45,N,PUNCH DRUNK,Kanye West,45,1,15.08
46,5,Dandelion,Ella Langley,32,9,14.72
47,-12,Porch Light,Noah Kahan,19,3,14.65
