Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x2),16,57.21
2,3,Man I Need,Olivia Dean,2,24,44.94
3,N,The Great Divide,Noah Kahan,3,1,44.32
4,-1,I Just Might,Bruno Mars,1(x2),4,41.19
5,1,Ordinary,Alex Warren,1(x5),52,41.18
6,-2,The Fate Of Ophelia,Taylor Swift,1(x12),18,38.58
7,=,Golden,HUNTR/X,1(x13),33,35.37
8,R,DtMF,Bad Bunny,1(x1),22,35.06
9,2,back to friends,sombr,6,45,34.29
10,N,Body,Don Toliver,10,1,32.2
11,2,So Easy (To Fall In Love),Olivia Dean,9,19,30.33
12,-4,End Of Beginning,Djo,6,27,29.85
13,N,E85,Don Toliver,13,1,29.49
14,-12,Aperture,Harry Styles,2,2,29.31
15,R,BAILE INoLVIDABLE,Bad Bunny,3,21,27.67
16,-6,Opalite,Taylor Swift,2,18,27.65
17,-8,What You Saying,Lil Uzi Vert,8,6,27.4
18,-4,Folded,Kehlani,6,34,25.72
19,-7,WHERE IS MY HUSBAND!,RAYE,12,19,25.64
20,-5,I Got Better,Morgan Wallen,6,34,24.12
21,-5,Die On This Hill,SIENNA SPIRO,15,6,23.64
22,42,ATM,Don Toliver,22,2,23.42
23,28,YUKON,Justin Bieber,13,30,23.11
24,-7,Sleepless In A Hotel Room,Luke Combs,13,4,22.84
25,-7,20 Cigarettes,Morgan Wallen,16,36,21.67
26,N,Secondhand,Don Toliver feat. Rema,26,1,21.61
27,R,NUEVAYoL,Bad Bunny,6,21,21.32
28,N,Rendezvous,Don Toliver feat. Yeat,28,1,21.16
29,-5,A Couple Minutes,Olivia Dean,22,15,19.4
30,R,Tiramisu,Don Toliver,30,2,19.13
31,N,Rosary,Don Toliver feat. Travis Scott,31,1,18.91
32,-11,MUTT,Leon Thomas,10,50,18.77
33,-7,DAISIES,Justin Bieber,1(x1),29,18.56
34,-14,Stateside,PinkPantheress feat. Zara Larsson,20,3,18.24
35,N,Dandelion,Ella Langley,35,1,17.95
36,N,Call Back,Don Toliver,36,1,17.78
37,N,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",37,1,17.57
38,N,Gemstone,Don Toliver,38,1,17.55
39,R,EoO,Bad Bunny,20,31,17.28
40,-13,TIT FOR TAT,Tate McRae,3,19,16.49
