Place,Move,Name,Artist,Peak,Weeks,Points
1,=,The Fate Of Ophelia,Taylor Swift,1(x11),13,53.88
2,1,Golden,HUNTR/X,1(x13),28,48.45
3,1,Ordinary,Alex Warren,1(x5),47,44.63
4,1,Man I Need,Olivia Dean,4,19,43.17
5,1,Choosin' Texas,Ella Langley,5,11,39.77
6,3,back to friends,sombr,6,40,30.43
7,1,Opalite,Taylor Swift,2,13,30.17
8,-1,Folded,Kehlani,6,29,29.07
9,-7,FDO,Pooh Shiesty,2,3,28.34
10,R,I Got Better,Morgan Wallen,6,29,24.98
11,-1,So Easy (To Fall In Love),Olivia Dean,9,14,22.59
12,R,What I Want,Morgan Wallen & Tate McRae,1(x3),28,21.89
13,R,End Of Beginning,Djo,8,22,21.76
14,N,What You Saying,Lil Uzi Vert,14,1,21.63
15,-3,WHERE IS MY HUSBAND!,RAYE,12,14,21.36
16,R,weren't for the wind,Ella Langley,16,25,19.85
17,1,20 Cigarettes,Morgan Wallen,17,31,19.52
18,3,Gabriela,KATSEYE,15,23,19.05
19,R,MUTT,Leon Thomas,10,45,18.56
20,R,Manchild,Sabrina Carpenter,1(x1),26,18.05
21,R,DAISIES,Justin Bieber,1(x1),24,17.84
22,-9,TIT FOR TAT,Tate McRae,3,14,17.4
23,R,Soda Pop,Saja Boys,3,23,17
24,-7,Hell At Night,BigXthaPlug feat. Ella Langley,17,21,16.83
25,R,Love Me Not,Ravyn Lenae,8,35,16.57
26,-3,A Couple Minutes,Olivia Dean,22,10,15.43
27,-8,I Thought I Saw Your Face Today,She & Him,19,3,15.41
28,R,Your Idol,Saja Boys,3,24,15.24
29,-18,4 Raws,EsDeeKid,11,4,15.19
30,-5,The Fall,Cody Johnson,22,14,14.92
31,R,How It's Done,HUNTR/X,4,22,14.41
32,-3,Last One To Know,Gavin Adcock,25,20,14.19
33,R,No Broke Boys,Disco Lines & Tinashe,31,20,14.08
34,-10,CHANEL,Tyla,24,4,13.98
35,-15,It Depends,Chris Brown feat. Bryson Tiller,11,23,13.82
36,-6,12 to 12,sombr,28,20,13.68
37,-15,Shot Callin,YoungBoy Never Broke Again,20,16,13.65
38,-24,wgft,Gunna feat. Burna Boy,14,21,13.47
39,N,dopamina,Peso Pluma & Tito Double P,39,1,13.21
40,-13,Tears,Sabrina Carpenter,2,18,13.06
41,-6,Travelin' Soldier,Cody Johnson,9,8,13.03
42,R,Don't Mind If I Do,Riley Green feat. Ella Langley,15,22,12.94
43,-28,Is It a Crime,Mariah the Scientist & Kali Uchis,15,21,12.87
44,-16,Eternity,Alex Warren,11,17,12.78
45,-13,House Again,Hudson Westbrook,28,37,12.14
46,-9,Better Me For You (Brown Eyes),Max McNown,33,29,11.94
47,-11,Elizabeth Taylor,Taylor Swift,3,13,11.9
48,-22,Phantom,EsDeeKid & Rico Ace,26,2,11.88
