Place,Move,Name,Artist,Peak,Weeks,Points
1,=,DtMF,Bad Bunny,1(x3),24,57.69
2,2,Choosin' Texas,Ella Langley,1(x2),18,56.28
3,6,Opalite,Taylor Swift,2,20,45.83
4,2,Man I Need,Olivia Dean,2,26,44.26
5,=,Titi Me Pregunto,Bad Bunny,5,31,42.97
6,2,Ordinary,Alex Warren,1(x5),54,42.05
7,4,I Just Might,Bruno Mars,1(x2),6,39.82
8,-6,BAILE INoLVIDABLE,Bad Bunny,2,23,39.8
9,1,The Fate Of Ophelia,Taylor Swift,1(x12),20,36.06
10,-7,NUEVAYoL,Bad Bunny,3,23,35.52
11,2,Golden,HUNTR/X,1(x13),35,33.78
12,N,Be By You,Luke Combs,12,1,30.85
13,-6,EoO,Bad Bunny,7,33,30.13
14,1,So Easy (To Fall In Love),Olivia Dean,9,21,29.27
15,N,Be Her,Ella Langley,15,1,27.8
16,9,Sleepless In A Hotel Room,Luke Combs,13,6,27.75
17,=,E85,Don Toliver,13,3,27.46
18,1,End Of Beginning,Djo,6,29,25.76
19,-1,Body,Don Toliver,10,3,25.5
20,=,back to friends,sombr,6,47,25.13
21,5,Folded,Kehlani,6,36,24.14
22,-6,The Great Divide,Noah Kahan,3,3,23.73
23,1,What You Saying,Lil Uzi Vert,8,8,23.66
24,7,20 Cigarettes,Morgan Wallen,16,38,23.45
25,5,Homewrecker,sombr,25,2,23.21
26,-4,YUKON,Justin Bieber,13,32,22.67
27,-4,WHERE IS MY HUSBAND!,RAYE,12,21,22.64
28,6,Die On This Hill,SIENNA SPIRO,15,8,21.94
29,-17,VOY A LLeVARTE PA PR,Bad Bunny,12,18,20.62
30,9,A Couple Minutes,Olivia Dean,22,17,18.7
31,-3,Aperture,Harry Styles,2,4,18.7
32,15,Dandelion,Ella Langley,32,3,18.49
33,24,Lush Life,Zara Larsson,28,6,17.38
34,7,Stateside,PinkPantheress feat. Zara Larsson,20,5,16.6
35,29,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,3,16.09
36,N,Babydoll,Dominic Fike,36,1,15.98
37,-16,LA CANCION,Bad Bunny & J Balvin,21,2,15.82
38,-24,Two Six,J. Cole,14,2,15.43
39,17,Hell At Night,BigXthaPlug feat. Ella Langley,17,28,15.2
40,11,12 to 12,sombr,28,27,15.11
41,-1,Let 'Em Know,T.I.,40,3,14.85
42,20,Days Like These,Luke Combs,38,18,14.75
43,5,The Fall,Cody Johnson,22,21,14.68
44,1,Dracula,Tame Impala,25,21,14.6
45,N,butterflies.,Brent Faiyaz,45,1,14.41
46,19,Better Me For You (Brown Eyes),Max McNown,26,36,13.64
47,-1,TIT FOR TAT,Tate McRae,3,21,13.4
48,N,wrong faces.,Brent Faiyaz,48,1,13.28
49,N,have to.,Brent Faiyaz,49,1,12.72
50,=,Travelin' Soldier,Cody Johnson,9,15,12.7
51,1,ATM,Don Toliver,22,4,12.61
52,2,Secondhand,Don Toliver feat. Rema,26,3,12.6
53,18,Amen,Shaboozey & Jelly Roll,44,40,12.46
54,23,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,33,12.28
55,15,Beautiful Things,Megan Moroney,41,11,12.19
56,20,I Thought I Saw Your Face Today,She & Him,19,10,12.16
57,22,CHANEL,Tyla,24,11,12.06
58,N,other side.,Brent Faiyaz,58,1,11.94
59,N,iloveitiloveitiloveit,Bella Kay,59,1,11.71
60,15,FDO,Pooh Shiesty,2,10,11.6
61,20,Midnight Sun,Zara Larsson,61,4,11.31
62,20,How Far Does a Goodbye Go,Jason Aldean,44,18,11.31
63,10,4 Raws,EsDeeKid,11,11,11.26
64,20,Who Knows,Daniel Caesar,39,8,11.25
65,21,Brunette,Tucker Wetmore,50,9,11.13
66,19,It Depends,Chris Brown feat. Bryson Tiller,11,30,11.1
67,-34,WHO TF IZ U,J. Cole,32,2,11.08
68,-2,Tiramisu,Don Toliver,30,4,11.05
69,-40,Poor Thang,J. Cole,29,2,10.81
70,10,Say Why,Zach Bryan,20,6,10.81
71,16,Nice To Each Other,Olivia Dean,43,16,10.59
72,-37,Bunce Road Blues,J. Cole feat. Future & Tems,35,2,10.58
73,21,ErrTime,Cardi B,31,20,10.42
74,-36,VeLDA,"Bad Bunny, Omar Courtz & Dei V",18,10,10.37
75,8,You Stole The Show,SIENNA SPIRO,42,7,10.36
76,-49,SAFETY,J. Cole,27,2,10.36
77,-14,Rendezvous,Don Toliver feat. Yeat,28,3,10.35
78,-9,Gemstone,Don Toliver,38,3,10.13
79,R,CAFe CON RON,Bad Bunny & Los Pleneros de la Cresta,46,5,10.03
80,18,POP DAT THANG,DaBaby,71,4,9.93
81,-7,Call Back,Don Toliver,36,3,9.9
82,R,Ya Borracho,Herencia De Grandes,82,2,9.84
83,13,When Did You Get Hot?,Sabrina Carpenter,13,23,9.77
84,R,BOO,H3adband,61,6,9.69
85,3,Fame is a Gun,Addison Rae,70,9,9.68
86,N,four seasons.,Brent Faiyaz,86,1,9.68
87,-9,Excavator,Don Toliver,42,3,9.68
88,R,Change My Mind,Riley Green,88,2,9.66
89,8,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,13,9.47
90,=,Plastic Cigarette,Zach Bryan,12,6,9.46
91,R,How It's Done,HUNTR/X,4,28,9.42
92,=,Bloodline,Alex Warren & Jelly Roll,28,21,9.35
