Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x6),22,53.24
2,1,I Just Might,Bruno Mars,1(x2),10,43.91
3,1,Man I Need,Olivia Dean,2,30,40.04
4,1,Stateside,PinkPantheress feat. Zara Larsson,4,9,38.53
5,1,Ordinary,Alex Warren,1(x5),58,36.3
6,-4,American Girls,Harry Styles,2,2,33.05
7,4,Golden,HUNTR/X,1(x13),39,32.35
8,-1,Risk It All,Bruno Mars,3,3,31.3
9,12,Babydoll,Dominic Fike,9,5,29.22
10,-1,So Easy (To Fall In Love),Olivia Dean,9,25,29.17
11,-1,DtMF,Bad Bunny,1(x3),28,27.94
12,11,iloveitiloveitiloveit,Bella Kay,12,5,27.51
13,=,Be By You,Luke Combs,9,5,27.2
14,3,Be Her,Ella Langley,14,5,26.91
15,4,Sleepless In A Hotel Room,Luke Combs,13,10,26.51
16,2,E85,Don Toliver,12,7,25.92
17,-3,The Fate Of Ophelia,Taylor Swift,1(x12),24,25.83
18,2,Opalite,Taylor Swift,2,24,25.21
19,N,Porch Light,Noah Kahan,19,1,25.08
20,17,Dracula,Tame Impala,20,25,22.66
21,-13,Aperture,Harry Styles,2,8,22.4
22,5,back to friends,sombr,6,51,21.75
23,5,Body,Don Toliver,10,7,21.48
24,5,Folded,Kehlani,6,40,21.47
25,8,Die On This Hill,SIENNA SPIRO,15,12,21.31
26,6,Homewrecker,sombr,22,6,20.51
27,9,YUKON,Justin Bieber,13,36,20.22
28,6,WHERE IS MY HUSBAND!,RAYE,12,25,19.5
29,12,The Great Divide,Noah Kahan,3,7,19.3
30,8,FEVER DREAM,Alex Warren,19,3,18.53
31,4,What You Saying,Lil Uzi Vert,8,12,18.23
32,-16,Coming Up Roses,Harry Styles,16,2,17.38
33,16,White Keys,Dominic Fike,33,4,17.34
34,14,Lush Life,Zara Larsson,28,10,17.33
35,11,Midnight Sun,Zara Larsson,35,8,16.46
36,N,The Visitor,SIENNA SPIRO,36,1,16.23
37,-25,"Ready, Steady, Go!",Harry Styles,12,2,15.99
38,-23,Taste Back,Harry Styles,15,2,15.76
39,5,The Fall,Cody Johnson,22,25,15.72
40,3,Let 'Em Know,T.I.,36,7,15.66
41,6,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,7,15.23
42,N,Motion Party,BossMan Dlow,42,1,14.95
43,2,Dandelion,Ella Langley,32,7,14.02
44,12,POP DAT THANG,DaBaby,44,8,13.8
45,8,Raindance,Dave & Tems,45,7,13.69
46,5,Wish I Didn't,Megan Moroney,31,6,13.22
47,7,Brunette,Tucker Wetmore,47,13,13.14
48,10,Change My Mind,Riley Green,48,6,13.1
49,6,Amen,Shaboozey & Jelly Roll,44,44,13.05
50,-28,Pop,Harry Styles,22,2,12.41
51,8,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,37,12.31
52,N,Dry Spell,Kacey Musgraves,52,1,12.12
53,8,CHANEL,Tyla,24,15,11.57
54,3,Travelin' Soldier,Cody Johnson,9,19,11.55
55,-30,Dance No More,Harry Styles,25,2,11.54
