Place,Move,Name,Artist,Peak,Weeks,Points
56,-32,Are You Listening Yet?,Harry Styles,24,2,11.48
57,3,TIT FOR TAT,Tate McRae,3,25,11.46
58,-32,The Waiting Game,Harry Styles,26,2,11.03
59,31,In My Room,Julia Wolf,59,2,10.89
60,-8,Beautiful Things,Megan Moroney,29,15,10.64
61,1,Say Why,Zach Bryan,20,10,10.58
62,-23,Carla's Song,Harry Styles,39,2,10.36
63,15,Elizabeth Taylor,Taylor Swift,3,19,10.25
64,-34,Season 2 Weight Loss,Harry Styles,30,2,10.13
65,9,Days Like These,Luke Combs,38,22,9.77
66,7,It Depends,Chris Brown feat. Bryson Tiller,11,34,9.67
67,-3,I Thought I Saw Your Face Today,She & Him,19,14,9.45
68,N,Breathe,Malcolm Todd,68,1,9.39
69,-1,Who Knows,Daniel Caesar,39,12,9.37
70,R,Zoo,Shakira,52,6,9.3
71,-2,FDO,Pooh Shiesty,2,14,9.29
72,-7,butterflies.,Brent Faiyaz,42,5,9.23
73,6,When Did You Get Hot?,Sabrina Carpenter,13,27,9.23
74,R,Mrs. Trendsetter,Lil Baby,65,4,9.18
75,R,Wedding Dress,Megan Moroney,55,3,9.05
76,13,How It's Done,HUNTR/X,4,32,8.98
77,4,Turn This Truck Around,Jordan Davis,77,3,8.84
78,-8,Plastic Cigarette,Zach Bryan,12,9,8.82
79,N,Rein Me In,Sam Fender & Olivia Dean,79,1,8.79
80,R,You Stole The Show,SIENNA SPIRO,42,10,8.78
81,-1,Earrings,Malcolm Todd,80,3,8.78
82,=,ATM,Don Toliver,22,8,8.58
83,-7,4 Raws,EsDeeKid,11,15,8.56
84,-7,Secondhand,Don Toliver feat. Rema,26,7,8.55
85,-1,Tiramisu,Don Toliver,30,8,8.55
86,2,dano,Peso Pluma & Tito Double P,72,5,8.55
87,N,All I Did Was Dream Of You,beabadoobee feat. The Marias,87,1,8.42
88,N,I Ain't No Cowboy,Luke Combs,88,1,8.34
89,-47,Paint By Numbers,Harry Styles,42,2,8.33
90,3,BOO,H3adband,59,9,8.14
91,3,Ya Borracho,Herencia De Grandes,82,5,8.1
92,N,Trade Places,Jack Harlow,92,1,7.91
93,2,Ends of the Earth,Ty Myers,87,10,7.83
94,N,Woman,Kane Brown,94,1,7.67
95,R,STAY HERE 4 LIFE,A$AP Rocky feat.  Brent Faiyaz,21,4,7.57
96,2,What He'll Never Have,Dylan Scott,96,4,7.52
97,=,Ain't A Bad Life,Thomas Rhett & Jordan Davis,95,8,7.44
98,1,Watching Us,Wale & Leon Thomas,98,2,6.87
99,1,Time's Ticking,Justin Moore,99,4,6.26
100,N,Ever Since U Left Me,Max B & French Montana,100,1,6.15
