Place,Move,Name,Artist,Peak,Weeks,Points
40,-15,NUEVAYoL,Bad Bunny,3,26,19.33
41,-8,The Great Divide,Noah Kahan,3,6,18.56
42,N,Paint By Numbers,Harry Styles,42,1,18.25
43,-7,Let 'Em Know,T.I.,36,6,17.04
44,=,The Fall,Cody Johnson,22,24,16.1
45,-3,Dandelion,Ella Langley,32,6,16.07
46,9,Midnight Sun,Zara Larsson,46,7,16.04
47,2,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,6,15.89
48,-7,Lush Life,Zara Larsson,28,9,15.81
49,3,White Keys,Dominic Fike,49,3,15.76
50,-10,A Couple Minutes,Olivia Dean,22,20,15.54
51,-5,Wish I Didn't,Megan Moroney,31,5,14.78
52,-9,Beautiful Things,Megan Moroney,29,14,14.57
53,13,Raindance,Dave & Tems,53,6,13.77
54,=,Brunette,Tucker Wetmore,50,12,13.72
55,-7,Amen,Shaboozey & Jelly Roll,44,43,13.44
56,2,POP DAT THANG,DaBaby,56,7,13.35
57,=,Travelin' Soldier,Cody Johnson,9,18,13.35
58,-2,Change My Mind,Riley Green,52,5,12.82
59,1,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,36,12.67
60,-1,TIT FOR TAT,Tate McRae,3,24,12.01
61,2,CHANEL,Tyla,24,14,11.84
62,6,Say Why,Zach Bryan,20,9,11.48
63,-35,God Was Showing Off,Bruno Mars,28,2,11.08
64,3,I Thought I Saw Your Face Today,She & Him,19,13,11.03
65,-3,butterflies.,Brent Faiyaz,42,4,10.81
66,-43,Cha Cha Cha,Bruno Mars,23,2,10.6
67,-30,Dance With Me,Bruno Mars,37,2,10.41
68,1,Who Knows,Daniel Caesar,39,11,10.04
69,5,FDO,Pooh Shiesty,2,13,9.76
70,16,Plastic Cigarette,Zach Bryan,12,8,9.74
71,-37,Why You Wanna Fight?,Bruno Mars,34,2,9.71
72,-11,Medicine,Megan Moroney,33,3,9.71
73,-9,It Depends,Chris Brown feat. Bryson Tiller,11,33,9.68
74,-21,Days Like These,Luke Combs,38,21,9.51
75,5,Nice To Each Other,Olivia Dean,43,19,9.46
76,=,4 Raws,EsDeeKid,11,14,9.46
77,-6,Secondhand,Don Toliver feat. Rema,26,6,9.45
78,R,Elizabeth Taylor,Taylor Swift,3,18,9.43
79,-7,When Did You Get Hot?,Sabrina Carpenter,13,26,9.38
80,8,Earrings,Malcolm Todd,80,2,9.23
81,8,Turn This Truck Around,Jordan Davis,81,2,9.19
82,-12,ATM,Don Toliver,22,7,9.03
83,-5,Rocky Mountain Low,Corey Kent & Koe Wetzel,78,2,8.95
84,-5,Tiramisu,Don Toliver,30,7,8.8
85,-4,Fame is a Gun,Addison Rae,70,11,8.78
86,-47,On My Soul,Bruno Mars,39,2,8.58
87,-2,Gemstone,Don Toliver,38,6,8.55
88,R,dano,Peso Pluma & Tito Double P,72,4,8.55
89,-5,How It's Done,HUNTR/X,4,31,8.53
90,N,In My Room,Julia Wolf,90,1,8.43
91,N,What You Need,Tems,91,1,8.4
92,-47,Something Serious,Bruno Mars,45,2,8.34
93,R,BOO,H3adband,59,8,8.33
94,-12,Ya Borracho,Herencia De Grandes,82,4,8.14
95,-8,Ends of the Earth,Ty Myers,87,9,8.09
96,-23,B.B.B.,Juvenile & Megan Thee Stallion feat. Genesisthegawd,73,2,7.99
97,-2,Ain't A Bad Life,Thomas Rhett & Jordan Davis,95,7,7.57
98,=,What He'll Never Have,Dylan Scott,98,3,7.2
99,N,Watching Us,Wale & Leon Thomas,99,1,6.75
100,=,Time's Ticking,Justin Moore,99,3,6.1
