Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x5),21,55.6
2,N,American Girls,Harry Styles,2,1,47.42
3,-1,I Just Might,Bruno Mars,1(x2),9,46.96
4,1,Man I Need,Olivia Dean,2,29,41.86
5,-1,Stateside,PinkPantheress feat. Zara Larsson,4,8,41.51
6,=,Ordinary,Alex Warren,1(x5),57,38.52
7,-4,Risk It All,Bruno Mars,3,2,35.17
8,27,Aperture,Harry Styles,2,7,34.39
9,2,So Easy (To Fall In Love),Olivia Dean,9,24,31.79
10,-3,DtMF,Bad Bunny,1(x3),27,31.35
11,-3,Golden,HUNTR/X,1(x13),38,29.85
12,N,"Ready, Steady, Go!",Harry Styles,12,1,29.36
13,-1,Be By You,Luke Combs,9,4,29.18
14,-5,The Fate Of Ophelia,Taylor Swift,1(x12),23,28.98
15,N,Taste Back,Harry Styles,15,1,28.64
16,N,Coming Up Roses,Harry Styles,16,1,28.41
17,-3,Be Her,Ella Langley,14,4,27.9
18,-5,E85,Don Toliver,12,6,27.15
19,-4,Sleepless In A Hotel Room,Luke Combs,13,9,27.09
20,-10,Opalite,Taylor Swift,2,23,26.28
21,1,Babydoll,Dominic Fike,21,4,25.98
22,N,Pop,Harry Styles,22,1,25.38
23,6,iloveitiloveitiloveit,Bella Kay,23,4,25.01
24,N,Are You Listening Yet?,Harry Styles,24,1,25.01
25,N,Dance No More,Harry Styles,25,1,24.42
26,N,The Waiting Game,Harry Styles,26,1,23.65
27,-9,back to friends,sombr,6,50,22.94
28,-8,Body,Don Toliver,10,6,22.71
29,-8,Folded,Kehlani,6,39,22.68
30,N,Season 2 Weight Loss,Harry Styles,30,1,22.53
31,-15,BAILE INoLVIDABLE,Bad Bunny,2,26,21.69
32,-6,Homewrecker,sombr,22,5,21.48
33,-3,Die On This Hill,SIENNA SPIRO,15,11,21.18
34,-10,WHERE IS MY HUSBAND!,RAYE,12,24,20.84
35,-8,What You Saying,Lil Uzi Vert,8,11,20.73
36,-4,YUKON,Justin Bieber,13,35,20.69
37,1,Dracula,Tame Impala,25,24,20.37
38,-19,FEVER DREAM,Alex Warren,19,2,20.02
39,N,Carla's Song,Harry Styles,39,1,19.84
