Place,Move,Name,Artist,Peak,Weeks,Points
1,=,I Just Might,Bruno Mars,1(x2),2,47.11
2,1,Choosin' Texas,Ella Langley,2,14,46.59
3,-1,The Fate Of Ophelia,Taylor Swift,1(x12),16,43.93
4,3,Man I Need,Olivia Dean,2,22,38.35
5,-1,Golden,HUNTR/X,1(x13),31,37.77
6,-1,Ordinary,Alex Warren,1(x5),50,37.11
7,-1,End Of Beginning,Djo,6,25,33.84
8,1,What You Saying,Lil Uzi Vert,8,4,29.42
9,1,Opalite,Taylor Swift,2,16,28.83
10,-2,back to friends,sombr,6,43,26.7
11,=,Folded,Kehlani,6,32,25.77
12,2,So Easy (To Fall In Love),Olivia Dean,9,17,23.82
13,4,WHERE IS MY HUSBAND!,RAYE,12,17,23.75
14,1,I Got Better,Morgan Wallen,6,32,22.54
15,3,Die On This Hill,SIENNA SPIRO,15,4,22.47
16,-4,Plastic Cigarette,Zach Bryan,12,2,22.11
17,25,wgft,Gunna feat. Burna Boy,14,24,21.53
18,-5,Sleepless In A Hotel Room,Luke Combs,13,2,21.1
19,=,20 Cigarettes,Morgan Wallen,16,34,19.7
20,N,HELICOPTER,A$AP Rocky,20,1,18.48
21,N,STAY HERE 4 LIFE,A$AP Rocky feat.  Brent Faiyaz,21,1,18.47
22,1,MUTT,Leon Thomas,10,48,16.97
23,-2,4 Raws,EsDeeKid,11,7,16.66
24,3,Hell At Night,BigXthaPlug feat. Ella Langley,17,24,16.34
25,=,DAISIES,Justin Bieber,1(x1),27,16.27
26,-4,A Couple Minutes,Olivia Dean,22,13,16.23
27,-1,TIT FOR TAT,Tate McRae,3,17,16.1
28,-12,FDO,Pooh Shiesty,2,6,15.61
29,-5,Purple Rain,Prince,22,3,15.4
30,N,STOLE YA FLOW,A$AP Rocky,30,1,15.33
31,-3,I Thought I Saw Your Face Today,She & Him,19,6,15.31
32,4,Lush Life,Zara Larsson,32,2,15.3
33,N,Stateside,PinkPantheress feat. Zara Larsson,33,1,14.89
34,1,The Fall,Cody Johnson,22,17,14.69
35,-15,Say Why,Zach Bryan,20,2,14.41
36,2,Travelin' Soldier,Cody Johnson,9,11,13.87
37,N,Wish I Didn't,Megan Moroney,37,1,13.18
38,8,12 to 12,sombr,28,23,12.96
39,-7,No Broke Boys,Disco Lines & Tinashe,31,23,12.76
40,-3,Better Me For You (Brown Eyes),Max McNown,26,32,12.69
41,22,Beautiful Things,Megan Moroney,41,7,12.31
42,-9,CHANEL,Tyla,24,7,12.22
43,N,ORDER OF PROTECTION,A$AP Rocky,43,1,12.16
44,7,Days Like These,Luke Combs,38,14,12.15
