Place,Move,Name,Artist,Peak,Weeks,Points
45,13,PUNK ROCKY,A$AP Rocky,45,2,11.78
46,1,You Stole The Show,SIENNA SPIRO,46,3,11.72
47,-2,It Depends,Chris Brown feat. Bryson Tiller,11,26,11.59
48,N,PLAYA,A$AP Rocky,48,1,11.49
49,18,Who Knows,Daniel Caesar,49,4,11.35
50,11,When Did You Get Hot?,Sabrina Carpenter,13,19,11.33
51,5,Happen to Me,Russell Dickerson,36,40,11.31
52,N,Bruce Wayne,YoungBoy Never Broke Again,52,1,11.26
53,R,House Again,Hudson Westbrook,28,39,11.18
54,10,How Far Does a Goodbye Go,Jason Aldean,44,14,11.13
55,14,Amen,Shaboozey & Jelly Roll,44,36,11.04
56,-12,Is It a Crime,Mariah the Scientist & Kali Uchis,15,24,10.95
57,-14,How It's Done,HUNTR/X,4,25,10.95
58,8,6 Months Later,Megan Moroney,24,31,10.93
59,N,STOP SNITCHING,A$AP Rocky feat. BossMan DLow & Sauce Walka,59,1,10.81
60,N,NO TRESPASSING,A$AP Rocky,60,1,10.81
61,-1,YUKON,Justin Bieber,13,28,10.72
62,-8,Shot Callin,YoungBoy Never Broke Again,20,19,10.38
63,-4,Don't Mind If I Do,Riley Green feat. Ella Langley,15,25,10.16
64,18,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,29,10.13
65,18,Brunette,Tucker Wetmore,65,5,10.03
66,4,ErrTime,Cardi B,31,16,10.01
67,24,Favorite Country Song,HARDY,46,13,9.81
68,22,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,9,9.8
69,N,bittersweet,Madison Beer,69,1,9.79
70,-30,Internet Girl,KATSEYE,18,3,9.75
71,1,Elizabeth Taylor,Taylor Swift,3,16,9.69
72,-23,Nice to Meet You,Myles Smith,44,33,9.68
73,-2,Phantom,EsDeeKid & Rico Ace,26,5,9.68
74,12,Bloodline,Alex Warren & Jelly Roll,28,17,9.51
75,4,Dracula,Tame Impala,25,17,9.33
76,-46,Bad News,Zach Bryan,30,2,9.26
77,N,DON'T BE DUMB / TRIP BABY,A$AP Rocky,77,1,9.24
78,N,Headtap,YoungBoy Never Broke Again,78,1,9.23
79,1,Nice To Each Other,Olivia Dean,43,12,9.03
80,4,Let Alone The One You Love,Olivia Dean,47,8,9.01
81,N,AIR FORCE (BLACK DEMARCO),A$AP Rocky,81,1,9.01
82,N,Another Episode,YoungBoy Never Broke Again,82,1,9.01
83,R,Fame is a Gun,Addison Rae,77,5,8.78
84,-29,Zoo,Shakira,52,4,8.59
85,-23,BOO,H3adband,62,4,8.56
86,-52,Appetite,Zach Bryan,34,2,8.56
87,N,Anti-Social,YoungBoy Never Broke Again,87,1,8.56
88,N,WHISKEY (RELEASE ME),A$AP Rocky feat. Gorillaz & Westside Gunn,88,1,8.33
89,-2,What An Awesome God,Phil Wickham,75,4,8.13
90,2,3am,Loe Shimmy & Don Toliver,40,5,7.93
91,4,Father Figure,Taylor Swift,4,14,7.9
92,-3,"girl, get up.",Doechii & SZA,53,3,7.72
93,-5,MR RECOUP,21 Savage & Drake,10,6,7.6
94,N,bad enough,Madison Beer,94,1,7.44
95,2,Take Me Thru Dere,"Metro Boomin, Quavo, Broski & YKNIECE",29,16,7.33
96,R,Ends of the Earth,Ty Myers,88,3,6.79
97,1,Darlin',Chase Matthew,52,17,6.71
98,N,Ain't A Bad Life,Thomas Rhett & Jordan Davis,98,1,5.98
99,R,It Won't Be Long,George Birge,99,3,4.94
100,R,Cowgirl,Parmalee,52,7,4.7
