Place,Move,Name,Artist,Peak,Weeks,Points
1,7,DtMF,Bad Bunny,1(x2),23,98.91
2,13,BAILE INoLVIDABLE,Bad Bunny,2,22,65.86
3,24,NUEVAYoL,Bad Bunny,3,22,56.02
4,-3,Choosin' Texas,Ella Langley,1(x2),17,55.08
5,R,Titi Me Pregunto,Bad Bunny,5,30,53.51
6,-4,Man I Need,Olivia Dean,2,25,45.62
7,32,EoO,Bad Bunny,7,32,45.52
8,-3,Ordinary,Alex Warren,1(x5),53,43.4
9,7,Opalite,Taylor Swift,2,19,42.38
10,-4,The Fate Of Ophelia,Taylor Swift,1(x12),19,39.01
11,-7,I Just Might,Bruno Mars,1(x2),5,38.76
12,32,VOY A LLeVARTE PA PR,Bad Bunny,12,17,35.66
13,-6,Golden,HUNTR/X,1(x13),34,35
14,N,Two Six,J. Cole,14,1,31.35
15,-4,So Easy (To Fall In Love),Olivia Dean,9,20,30.81
16,-13,The Great Divide,Noah Kahan,3,2,30.02
17,-4,E85,Don Toliver,13,2,27.68
18,-8,Body,Don Toliver,10,2,27.25
19,-7,End Of Beginning,Djo,6,28,26.88
20,-11,back to friends,sombr,6,46,26.85
21,N,LA CANCION,Bad Bunny & J Balvin,21,1,26.69
22,1,YUKON,Justin Bieber,13,31,25.62
23,-4,WHERE IS MY HUSBAND!,RAYE,12,20,25.48
24,-7,What You Saying,Lil Uzi Vert,8,7,25.42
25,-1,Sleepless In A Hotel Room,Luke Combs,13,5,24.98
26,-8,Folded,Kehlani,6,35,24.53
27,N,SAFETY,J. Cole,27,1,23.89
28,-14,Aperture,Harry Styles,2,3,23.79
29,N,Poor Thang,J. Cole,29,1,23.42
30,N,Homewrecker,sombr,30,1,22.81
31,-6,20 Cigarettes,Morgan Wallen,16,37,22.3
32,N,Run A Train,J. Cole feat. Future,31,1,21.84
33,N,WHO TF IZ U,J. Cole,32,1,21.51
34,-13,Die On This Hill,SIENNA SPIRO,15,7,21.34
35,N,Bunce Road Blues,J. Cole feat. Future & Tems,35,1,21.16
36,R,MONACO,Bad Bunny,4,22,20.23
37,N,Legacy,J. Cole feat. PJ,37,1,19.66
38,52,VeLDA,"Bad Bunny, Omar Courtz & Dei V",18,9,19.4
39,-10,A Couple Minutes,Olivia Dean,22,16,19.16
40,6,Let 'Em Know,T.I.,40,2,17.74
41,-7,Stateside,PinkPantheress feat. Zara Larsson,20,4,17.66
42,R,DAKITI,Bad Bunny & Jhay Cortez,2,8,17.57
43,N,The Let Out,J. Cole,43,1,17.34
44,N,Drum N Bass,J. Cole,44,1,16.89
45,48,Dracula,Tame Impala,25,20,16.7
46,-6,TIT FOR TAT,Tate McRae,3,20,16.42
47,-12,Dandelion,Ella Langley,35,2,16.19
48,-1,The Fall,Cody Johnson,22,20,16.04
49,N,Bombs In The Ville/Hit The Gas,J. Cole,49,1,15.99
50,-5,Travelin' Soldier,Cody Johnson,9,14,15.84
