Place,Move,Name,Artist,Peak,Weeks,Points
51,-1,12 to 12,sombr,28,26,15.84
52,-30,ATM,Don Toliver,22,3,15.76
53,N,39 Intro,J. Cole,53,1,15.75
54,-28,Secondhand,Don Toliver feat. Rema,26,2,15.53
55,N,29 Intro,J. Cole,55,1,15.53
56,-5,Hell At Night,BigXthaPlug feat. Ella Langley,17,27,15.26
57,-9,Lush Life,Zara Larsson,28,5,15.12
58,N,Old Dog,J. Cole feat. Petey Pablo,58,1,14.33
59,N,The Fall-Off Is Inevitable,J. Cole,59,1,14.04
60,N,The Villest,J. Cole feat. Erykah Badu,60,1,13.96
61,N,Lonely At The Top,J. Cole,61,1,13.96
62,-3,Days Like These,Luke Combs,38,17,13.77
63,-35,Rendezvous,Don Toliver feat. Yeat,28,2,13.73
64,-27,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",37,2,13.6
65,-5,Better Me For You (Brown Eyes),Max McNown,26,35,13.54
66,-36,Tiramisu,Don Toliver,30,3,13.53
67,N,Life Sentence,J. Cole,67,1,13.29
68,N,Only You,J. Cole feat. Burna Boy,68,1,13.06
69,-31,Gemstone,Don Toliver,38,2,13.05
70,=,Beautiful Things,Megan Moroney,41,10,12.78
71,-5,Amen,Shaboozey & Jelly Roll,44,39,12.76
72,N,I Love Her Again,J. Cole,72,1,12.61
73,-24,4 Raws,EsDeeKid,11,10,12.61
74,-38,Call Back,Don Toliver,36,2,12.6
75,-17,FDO,Pooh Shiesty,2,9,12.54
76,-22,I Thought I Saw Your Face Today,She & Him,19,9,12.38
77,-10,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,32,12.19
78,-36,Excavator,Don Toliver,42,2,12.16
79,-14,CHANEL,Tyla,24,10,11.77
80,-19,Say Why,Zach Bryan,20,5,11.71
81,2,Midnight Sun,Zara Larsson,69,3,11.62
82,-9,How Far Does a Goodbye Go,Jason Aldean,44,17,11.53
83,-21,You Stole The Show,SIENNA SPIRO,42,6,11.27
84,-16,Who Knows,Daniel Caesar,39,7,11.25
85,-13,It Depends,Chris Brown feat. Bryson Tiller,11,29,11.25
86,-4,Brunette,Tucker Wetmore,50,8,11.11
87,-18,Nice To Each Other,Olivia Dean,43,15,11.04
88,-14,Fame is a Gun,Addison Rae,70,8,11.03
89,-58,Rosary,Don Toliver feat. Travis Scott,31,2,11.03
90,-35,Plastic Cigarette,Zach Bryan,12,5,10.89
91,N,Man Up Above,J. Cole,91,1,10.81
92,-6,Bloodline,Alex Warren & Jelly Roll,28,20,10.72
93,N,Quik Stop,J. Cole,93,1,10.58
94,-14,ErrTime,Cardi B,31,19,10.52
95,-52,Opposite,Don Toliver,43,2,10.35
96,-4,When Did You Get Hot?,Sabrina Carpenter,13,22,10.18
97,-20,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,12,10.03
98,-27,POP DAT THANG,DaBaby,71,3,9.98
99,N,What If,J. Cole feat. Morray,99,1,9.93
100,N,Til You Can't,Kid Rock,100,1,5.03
