Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x7),23,57.26
2,N,SWIM,BTS,2,1,46.36
3,-1,I Just Might,Bruno Mars,1(x2),11,42.89
4,-1,Man I Need,Olivia Dean,2,31,38.34
5,-1,Stateside,PinkPantheress feat. Zara Larsson,4,10,36.94
6,-1,Ordinary,Alex Warren,1(x5),59,36.07
7,2,Babydoll,Dominic Fike,7,6,32.29
8,6,Be Her,Ella Langley,8,6,31.62
9,6,Sleepless In A Hotel Room,Luke Combs,9,11,31.27
10,3,Be By You,Luke Combs,9,6,31.07
11,-4,Golden,HUNTR/X,1(x13),40,30.07
12,-4,Risk It All,Bruno Mars,3,4,29.91
13,-3,So Easy (To Fall In Love),Olivia Dean,9,26,29.77
14,-2,iloveitiloveitiloveit,Bella Kay,12,6,28.46
15,-9,American Girls,Harry Styles,2,3,28.11
16,=,E85,Don Toliver,12,8,26.82
17,-6,DtMF,Bad Bunny,1(x3),29,26.21
18,-1,The Fate Of Ophelia,Taylor Swift,1(x12),25,26.02
19,1,Dracula,Tame Impala,19,26,24.67
20,-2,Opalite,Taylor Swift,2,25,23.32
21,N,Body to Body,BTS,21,1,22.35
22,=,back to friends,sombr,6,52,21.68
23,5,WHERE IS MY HUSBAND!,RAYE,12,26,21.53
24,=,Folded,Kehlani,6,41,21.36
25,1,Homewrecker,sombr,22,7,21.12
26,-3,Body,Don Toliver,10,8,21.03
27,=,YUKON,Justin Bieber,13,37,20.82
28,-3,Die On This Hill,SIENNA SPIRO,15,13,20.1
29,4,White Keys,Dominic Fike,29,5,19.81
30,=,FEVER DREAM,Alex Warren,19,4,18.46
31,N,Hooligan,BTS,31,1,17.53
32,-1,What You Saying,Lil Uzi Vert,8,13,17.47
33,-4,The Great Divide,Noah Kahan,3,8,17.38
34,N,FYA,BTS,34,1,17.33
35,-16,Porch Light,Noah Kahan,19,2,17.13
36,-2,Lush Life,Zara Larsson,28,11,17.12
37,N,Rethink Some Things,Luke Combs,37,1,16.98
38,27,Days Like These,Luke Combs,38,23,14.16
39,N,NORMAL,BTS,39,1,16.45
40,2,Motion Party,BossMan Dlow,40,2,16.4
41,7,Change My Mind,Riley Green,41,7,16.32
42,-21,Aperture,Harry Styles,2,9,16.31
43,-3,Let 'Em Know,T.I.,36,8,16.22
44,-5,The Fall,Cody Johnson,22,26,16.01
45,-1,POP DAT THANG,DaBaby,44,9,15.86
46,-5,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,8,15.72
47,-12,Midnight Sun,Zara Larsson,35,9,15.54
48,N,Aliens,BTS,48,1,15.5
49,N,2,BTS,49,1,15.05
50,N,Loving Life Again,Ella Langley,50,1,14.73
51,-8,Dandelion,Ella Langley,32,8,14.72
52,N,Merry Go Round,BTS,52,1,14.58
53,-8,Raindance,Dave & Tems,45,8,14.46
54,N,Like Animals,BTS,54,1,14.18
55,-19,The Visitor,SIENNA SPIRO,36,2,13.74
56,N,they don't know 'bout us,BTS,56,1,13.7
57,-8,Amen,Shaboozey & Jelly Roll,44,45,13.65
58,-11,Brunette,Tucker Wetmore,47,14,13.53
59,N,One More Night,BTS,59,1,12.67
60,-28,Coming Up Roses,Harry Styles,16,3,12.4
61,N,Please,BTS,61,1,12.35
62,-3,In My Room,Julia Wolf,59,3,12.26
63,-6,TIT FOR TAT,Tate McRae,3,26,11.08
64,-27,"Ready, Steady, Go!",Harry Styles,12,3,11.03
65,-27,Taste Back,Harry Styles,15,3,11.03
66,N,Into the Sun,BTS,66,1,11
67,-4,Elizabeth Taylor,Taylor Swift,3,20,10.93
68,-14,Travelin' Soldier,Cody Johnson,9,20,10.87
69,-16,CHANEL,Tyla,24,16,10.69
70,N,Can't Sit Still,Lainey Wilson,70,1,10.38
71,R,Don't We,Morgan Wallen,43,6,10.38
72,N,No. 29,BTS,72,1,10.28
73,-21,Dry Spell,Kacey Musgraves,52,2,9.91
74,-13,Say Why,Zach Bryan,20,11,9.91
75,-15,Beautiful Things,Megan Moroney,29,16,9.9
76,-25,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,38,9.87
