Place,Move,Name,Artist,Peak,Weeks,Points
1,N,I Just Might,Bruno Mars,1(x1),1,58.85
2,-1,The Fate Of Ophelia,Taylor Swift,1(x12),15,51.6
3,=,Choosin' Texas,Ella Langley,3,13,49.68
4,1,Golden,HUNTR/X,1(x13),30,46.43
5,-1,Ordinary,Alex Warren,1(x5),49,43.46
6,=,End Of Beginning,Djo,6,24,42.94
7,-5,Man I Need,Olivia Dean,2,21,42.85
8,-1,back to friends,sombr,6,42,33.69
9,1,What You Saying,Lil Uzi Vert,9,3,31.14
10,-1,Opalite,Taylor Swift,2,15,29.82
11,-3,Folded,Kehlani,6,31,29.17
12,N,Plastic Cigarette,Zach Bryan,12,1,28.43
13,N,Sleepless In A Hotel Room,Luke Combs,13,1,25.85
14,-1,So Easy (To Fall In Love),Olivia Dean,9,16,25.39
15,-3,I Got Better,Morgan Wallen,6,31,25.04
16,-5,FDO,Pooh Shiesty,2,5,24.21
17,-3,WHERE IS MY HUSBAND!,RAYE,12,16,23.1
18,22,Die On This Hill,SIENNA SPIRO,18,3,21.42
19,-3,20 Cigarettes,Morgan Wallen,16,33,20.54
20,N,Say Why,Zach Bryan,20,1,19.15
21,4,4 Raws,EsDeeKid,11,6,18.93
22,1,A Couple Minutes,Olivia Dean,22,12,18.73
23,-3,MUTT,Leon Thomas,10,47,18.65
24,-2,Purple Rain,Prince,22,2,18.63
25,-8,DAISIES,Justin Bieber,1(x1),26,17.84
26,-2,TIT FOR TAT,Tate McRae,3,16,17.63
27,-6,Hell At Night,BigXthaPlug feat. Ella Langley,17,23,17.62
28,1,I Thought I Saw Your Face Today,She & Him,19,5,17.61
29,-10,Gabriela,KATSEYE,15,25,16.92
30,N,Bad News,Zach Bryan,30,1,15.92
31,-1,Soda Pop,Saja Boys,3,25,15.9
32,9,No Broke Boys,Disco Lines & Tinashe,31,22,15.54
33,4,CHANEL,Tyla,24,6,15.51
34,N,Appetite,Zach Bryan,34,1,15.41
35,-4,The Fall,Cody Johnson,22,16,15.2
36,N,Lush Life,Zara Larsson,36,1,15.16
37,-11,Better Me For You (Brown Eyes),Max McNown,26,31,15.09
38,-3,Travelin' Soldier,Cody Johnson,9,10,14.53
39,N,Landslide,Fleetwood Mac,39,1,14.52
40,-22,Internet Girl,KATSEYE,18,2,14.16
41,N,Runny Eggs,Zach Bryan,41,1,14.1
42,-4,wgft,Gunna feat. Burna Boy,14,23,13.83
43,-7,How It's Done,HUNTR/X,4,24,13.78
44,-1,Is It a Crime,Mariah the Scientist & Kali Uchis,15,23,13.61
45,-6,It Depends,Chris Brown feat. Bryson Tiller,11,25,13.38
46,-13,12 to 12,sombr,28,22,13.34
47,29,You Stole The Show,SIENNA SPIRO,47,2,13.22
48,N,Skin,Zach Bryan,48,1,13.21
49,-5,Nice to Meet You,Myles Smith,44,32,13.06
50,N,DeAnn's Denim,Zach Bryan,50,1,12.77
51,-6,Days Like These,Luke Combs,38,13,12.6
52,N,Drowning,Zach Bryan,52,1,12.55
53,N,Dry Deserts,Zach Bryan,53,1,12.33
54,-7,Shot Callin,YoungBoy Never Broke Again,20,18,12.27
55,=,Zoo,Shakira,52,3,12.15
56,-7,Happen to Me,Russell Dickerson,36,39,12.14
57,N,Santa Fe,Zach Bryan,57,1,12.11
58,N,PUNK ROCKY,A$AP Rocky,58,1,11.94
59,-17,Don't Mind If I Do,Riley Green feat. Ella Langley,15,24,11.9
60,-6,YUKON,Justin Bieber,13,27,11.81
61,-1,When Did You Get Hot?,Sabrina Carpenter,13,18,11.75
62,4,BOO,H3adband,62,3,11.56
63,-15,Beautiful Things,Megan Moroney,45,6,11.52
64,-3,How Far Does a Goodbye Go,Jason Aldean,44,13,11.49
65,-9,Eternity,Alex Warren,11,19,11.46
66,-7,6 Months Later,Megan Moroney,24,30,11.4
67,11,Who Knows,Daniel Caesar,67,3,11.28
68,N,With Heaven On Top,Zach Bryan,68,1,11.24
69,-11,Amen,Shaboozey & Jelly Roll,44,35,11.13
70,-7,ErrTime,Cardi B,31,15,11.07
71,-14,Phantom,EsDeeKid & Rico Ace,26,4,11.01
72,-20,Elizabeth Taylor,Taylor Swift,3,15,10.79
73,N,South And Pine,Zach Bryan,73,1,10.79
74,N,Cannonball,Zach Bryan,74,1,10.79
75,N,Slicked Back,Zach Bryan,75,1,10.57
76,N,Anyways,Zach Bryan,76,1,10.57
77,N,RATHER BE,The Kid LAROI feat. Lithe,77,1,10.35
78,-28,Tears,Sabrina Carpenter,2,20,10.34
79,-12,Dracula,Tame Impala,25,16,10.2
80,-16,Nice To Each Other,Olivia Dean,43,11,10.15
81,N,If They Come Lookin',Zach Bryan,81,1,10.13
82,-31,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,28,10.06
83,-10,Brunette,Tucker Wetmore,73,4,10.01
84,-16,Let Alone The One You Love,Olivia Dean,47,7,9.91
85,N,"Lover, You Should've Come Over",Jeff Buckley,85,1,9.9
86,-6,Bloodline,Alex Warren & Jelly Roll,28,16,9.84
87,-12,What An Awesome God,Phil Wickham,75,3,9.83
88,-26,MR RECOUP,21 Savage & Drake,10,5,9.79
89,-36,"girl, get up.",Doechii & SZA,53,2,9.72
90,-25,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,8,9.59
91,-20,Favorite Country Song,HARDY,46,12,9.58
92,-11,3am,Loe Shimmy & Don Toliver,40,4,9.54
93,N,Rivers And Creeks,Zach Bryan,93,1,9.47
94,-20,Wi$h Li$t,Taylor Swift,6,13,9.25
95,-16,Father Figure,Taylor Swift,4,13,9.03
96,N,You Can Still Come Home,Zach Bryan,96,1,9.02
97,-25,Take Me Thru Dere,"Metro Boomin, Quavo, Broski & YKNIECE",29,15,8.93
98,-8,Darlin',Chase Matthew,52,16,7.11
99,-8,Camera,Ed Sheeran,51,18,6.84
100,-3,Stay Country Or Die Trying,Blake Shelton,57,5,6.36
